,Episodes,Total Reward,Epsilon,Buffer Size,Learn Step Counter,Moving Average
0,0,626.0,0.9999555009845417,209,178,
1,1,637.0,0.999917503392708,361,330,
2,2,795.0,0.9998565102776767,605,574,
3,3,618.0,0.9998337637979636,696,665,
4,4,1212.0,0.9996230710084099,1539,1508,
5,5,233.0,0.9996130748264299,1579,1548,
6,6,237.0,0.9996045781503414,1613,1582,
7,7,582.0,0.9995785887659205,1717,1686,
8,8,226.0,0.9995688429209716,1756,1725,
9,9,773.0,0.9994811345922893,2107,2076,
10,10,662.0,0.9993642021255917,2575,2544,
11,11,247.0,0.9993552078871212,2611,2580,
12,12,690.0,0.9992577754920657,3001,2970,
13,13,639.0,0.999222052660671,3144,3113,
14,14,1030.0,0.9991693450809727,3355,3324,
15,15,712.0,0.999005244972598,4012,3981,
16,16,981.0,0.9988921140206092,4465,4434,
17,17,639.0,0.9988561545472787,4609,4578,
18,18,638.0,0.998818947843845,4758,4727,
19,19,601.0,0.9986434208166854,5461,5430,
20,20,1046.0,0.9985817564816393,5708,5677,
21,21,244.0,0.9985732685717206,5742,5711,
22,22,753.0,0.998460685768575,6193,6162,
23,23,239.0,0.9984519492747036,6228,6197,
24,24,953.0,0.9983049380307426,6817,6786,
25,25,1024.0,0.998247786701861,7046,7015,
26,26,234.0,0.9982383033917462,7084,7053,
27,27,637.0,0.9982006206023447,7235,7204,
28,28,1425.0,0.9981499631999524,7438,7407,
29,29,248.0,0.9981422275667452,7469,7438,
30,30,779.0,0.9980613813105127,7793,7762,
31,31,605.0,0.998037428121803,7889,7858,
32,32,234.0,0.9980271982893125,7930,7899,
33,33,622.0,0.9980019984175517,8031,8000,
34,34,713.0,0.9978390878688577,8684,8653,
35,35,769.0,0.9974609784634968,10200,10169,
36,36,247.0,0.9974537468967124,10229,10198,
37,37,241.0,0.9974447698522637,10265,10234,
38,38,782.0,0.9974063689630414,10419,10388,
39,39,614.0,0.9973829301858443,10513,10482,
40,40,591.0,0.9973430356615405,10673,10642,
41,41,245.0,0.9973353062819983,10704,10673,
42,42,623.0,0.997297158931332,10857,10826,
43,43,704.0,0.9971742496155549,11350,11319,
44,44,1064.0,0.9971336155877221,11513,11482,
45,45,613.0,0.9971064440635112,11622,11591,
46,46,966.0,0.9969725914916998,12159,12128,
47,47,994.0,0.9968768867048436,12543,12512,
48,48,595.0,0.9968452363621818,12670,12639,
49,49,1176.0,0.9965865885519833,13708,13677,
50,50,634.0,0.9965651621679827,13794,13763,
51,51,244.0,0.99655694053828,13827,13796,
52,52,564.0,0.9965046226657108,14037,14006,
53,53,663.0,0.9963713490686223,14572,14541,
54,54,774.0,0.9962841703787926,14922,14891,
55,55,625.0,0.9962610070382074,15015,14984,
56,56,613.0,0.9962373461173037,15110,15079,
57,57,611.0,0.9962131876515599,15207,15176,
58,58,620.0,0.996022431067779,15973,15942,
59,59,1276.0,0.9959166092931173,16398,16367,
60,60,895.0,0.995699523108379,17270,17239,
61,61,786.0,0.9956280842215574,17557,17526,
62,62,578.0,0.9955835308561021,17736,17705,
63,63,240.0,0.9955753173248254,17769,17738,
64,64,596.0,0.9955442060783817,17894,17863,
65,65,1681.0,0.9954869639250966,18124,18093,
66,66,1403.0,0.9952281709266381,19164,19133,
67,67,813.0,0.9949067640972048,20456,20425,
68,68,1413.0,0.9948652276016862,20623,20592,
69,69,251.0,0.9948572687107051,20655,20624,
70,70,250.0,0.9948485637465989,20690,20659,
71,71,637.0,0.9948110089174697,20841,20810,
72,72,673.0,0.9947296864314158,21168,21137,
73,73,967.0,0.9946006286112586,21687,21656,
74,74,233.0,0.9945919258927435,21722,21691,
75,75,249.0,0.9945847151265176,21751,21720,
76,76,813.0,0.9942640132317156,23041,23010,
77,77,1312.0,0.9941760247490816,23395,23364,
78,78,632.0,0.9941519162697803,23492,23461,
79,79,239.0,0.9941427204059349,23529,23498,
80,80,246.0,0.9941340216940997,23564,23533,
81,81,597.0,0.9941081745423156,23668,23637,
82,82,267.0,0.993610002622253,25673,25642,
83,83,608.0,0.9935851626795794,25773,25742,
84,84,227.0,0.9935754752702576,25812,25781,
85,85,233.0,0.9935657879553876,25851,25820,
86,86,601.0,0.9935379684993176,25963,25932,
87,87,607.0,0.993510646577443,26073,26042,
88,88,846.0,0.9932305160403151,27201,27170,
89,89,228.0,0.9932210803940514,27239,27208,
90,90,243.0,0.9932118931403993,27276,27245,
91,91,802.0,0.9931604957484165,27483,27452,
92,92,930.0,0.9929747920763079,28231,28200,
93,93,1423.0,0.9925848777523643,29802,29771,
94,94,625.0,0.9925486490609704,29948,29917,
95,95,961.0,0.9924097019592382,30508,30477,
96,96,248.0,0.9924025070140804,30537,30506,
97,97,712.0,0.9922397663276654,31193,31162,
98,98,241.0,0.9922303400934803,31231,31200,
99,99,649.0,0.991988761388836,32205,32174,
100,100,1328.0,0.9919262680576084,32457,32426,
101,101,238.0,0.9919173407602517,32493,32462,
102,102,241.0,0.9919091574749227,32526,32495,
103,103,713.0,0.9918650184939912,32704,32673,
104,104,250.0,0.9918573315689229,32735,32704,
105,105,225.0,0.9918474130439586,32775,32744,
106,106,768.0,0.9917541837573105,33151,33120,
107,107,244.0,0.9917457538815206,33185,33154,
108,108,227.0,0.9917353406044717,33227,33196,
109,109,611.0,0.9917105475277688,33327,33296,
110,110,661.0,0.9915749403657755,33874,33843,
111,111,780.0,0.9914963611556601,34191,34160,
112,112,243.0,0.9914876855993701,34226,34195,
113,113,242.0,0.991478762249238,34262,34231,
114,114,602.0,0.9914512490918895,34373,34342,
115,115,831.0,0.9911493981079073,35591,35560,
116,116,736.0,0.9910158497078251,36130,36099,
117,117,1513.0,0.9908934667923719,36624,36593,
118,118,622.0,0.9908711719373973,36714,36683,
119,119,632.0,0.9908273268526321,36891,36860,
120,120,702.0,0.990752769892197,37192,37161,
121,121,592.0,0.9907198279061392,37325,37294,
122,122,612.0,0.9905353234976098,38070,38039,
123,123,637.0,0.9905150177290718,38152,38121,
124,124,244.0,0.9905053602535207,38191,38160,
125,125,632.0,0.9904612837401832,38369,38338,
126,126,238.0,0.9904518744015045,38407,38376,
127,127,1250.0,0.9901931526139459,39452,39421,
128,128,704.0,0.9901483473819094,39633,39602,
129,129,1272.0,0.9899211343814402,40551,40520,
130,130,595.0,0.9898892099356459,40680,40649,
131,131,631.0,0.9898637206134767,40783,40752,
132,132,1267.0,0.9897580582879055,41210,41179,
133,133,634.0,0.9897162418880877,41379,41348,
134,134,240.0,0.9897080767617517,41412,41381,
135,135,227.0,0.9896984271538376,41451,41420,
136,136,237.0,0.9896892724845813,41488,41457,
137,137,239.0,0.989680117900005,41525,41494,
138,138,672.0,0.9895170815106705,42184,42153,
139,139,230.0,0.9895084232730034,42219,42188,
140,140,597.0,0.9894735437114742,42360,42329,
141,141,240.0,0.9894658753202662,42391,42360,
142,142,614.0,0.9894431178639975,42483,42452,
143,143,751.0,0.9893941416357019,42681,42650,
144,144,748.0,0.9893607501427277,42816,42785,
145,145,588.0,0.9893323064264823,42931,42900,
146,146,236.0,0.9893226604823115,42970,42939,
147,147,1284.0,0.9892185397387164,43391,43360,
148,148,607.0,0.9891990028630391,43470,43439,
149,149,1017.0,0.9891248157105937,43770,43739,
150,150,231.0,0.9891156663472194,43807,43776,
151,151,231.0,0.9891060225152793,43846,43815,
152,152,589.0,0.9888293587710051,44965,44934,
153,153,699.0,0.9887636037967954,45231,45200,
154,154,227.0,0.9887544577746161,45268,45237,
155,155,606.0,0.9887388850125932,45331,45300,
